literal	 category	 regex	 rule
await	ASPECTUAL	r'''(await( |s|ed|ing))'''	forward
began	ASPECTUAL	r'''(began|begin|beginning|begins)'''	forward
complete	ASPECTUAL	r'''(complet(e|es|ed|tion|ting))'''	forward
continue	ASPECTUAL	r'''(continu(e|ed|ing|es|ous))'''	forward
curtail	ASPECTUAL	r'''(curtail( |ed|ling|s))'''	forward
develop	ASPECTUAL	r'''(develop( |s|ed|ing|ment))'''	forward
discontinued	ASPECTUAL	r'''(discontinu(e|ed|ing|es|ous))'''	forward
emergence	ASPECTUAL	r'''(emerge( |s|nt|ing|nce))'''	forward
finish	ASPECTUAL	r'''(finish( |ing|ed|s))'''	forward
go off of	ASPECTUAL	r'''(get|go)off of'''	forward
held	ASPECTUAL	r'''(hold|held)'''	forward
holding	ASPECTUAL		forward
initiation	ASPECTUAL	r'''(initia(tes|te|ted|ting|l|ly|tion))'''	forward
is back	ASPECTUAL		forward
nonrecur	ASPECTUAL	r'''(nonrecur( |ring|rence|red|rent|s))'''	forward
off it	ASPECTUAL		forward
omit	ASPECTUAL	r'''(omit( |ted|ting|s))'''	forward
ongoing	ASPECTUAL		forward
onset	ASPECTUAL	r'''(onset( |s))'''	forward
origin	ASPECTUAL	r'''(origin( |ated|ating|es|ed))'''	forward
pending	ASPECTUAL		forward
maintain	ASPECTUAL	r'''maintai[a-z]+'''	forward
persist	ASPECTUAL	r'''(persist( |ing|ed|s))'''	forward
proceed	ASPECTUAL	r'''(proceed( |s|ing|ed))'''	forward
pursue	ASPECTUAL	r'''(pursu( |e|ing|ed|s))'''	forward
quit	ASPECTUAL	r'''(quit( |ting|s))'''	forward
recur	ASPECTUAL	r'''(recur( |ring|rence|red|rent|s))'''	forward
remain	ASPECTUAL	r'''(remain( |s|ed|ing))'''	forward
reccur	ASPECTUAL	r'''(recurr( |ing|ence|ed|s))'''	forward
reoccur	ASPECTUAL	r'''(reocurr( |ing|ence|ed|s))'''	forward
repeat	ASPECTUAL	r'''(repeat( |ing|s|ed))'''	forward
resolved	ASPECTUAL	r'''(resolv(e|ed|ing|es))'''	forward
resume	ASPECTUAL	r'''(resum(e\s|es|ing|ed))'''	forward
restart	ASPECTUAL	r'''(restart( |ed|ing|s))'''	forward
return	ASPECTUAL	r'''(return( |s|ing|ed))'''	forward
set off	ASPECTUAL	r'''(set( |s|ting) off)''')	forward
start	ASPECTUAL	r'''(start( |s|ed|ing))'''	forward
still	ASPECTUAL		forward
stop	ASPECTUAL	r'''(stop( |ped|ping|s))'''	forward
taken off	ASPECTUAL		forward
withheld	ASPECTUAL	r'''(with(held|hold))'''	forward
appear	EVIDENTIAL	r'''(appear( |s|ring|red|rance of))'''	forward
based on	EVIDENTIAL		forward
believe	EVIDENTIAL	r'''(believ(e|es|ed|ing))'''	forward
confirm	EVIDENTIAL	r'''(confirm( |ed|s|ing|ation))'''	forward
declined	EVIDENTIAL		forward
declines	EVIDENTIAL		forward
denied	EVIDENTIAL		forward
denies	EVIDENTIAL		forward
deny	EVIDENTIAL		forward
does not feel	EVIDENTIAL		forward
endorse	EVIDENTIAL	r'''(endors(e|es|ed|ing))'''	forward
feels	EVIDENTIAL		forward
found to have	EVIDENTIAL		forward
has to be pointed out	EVIDENTIAL		forward
hear	EVIDENTIAL	r'''(hear( |s|ing|ed))'''	forward
identify	EVIDENTIAL	r'''(identif(y|ies|ied))'''	forward
indicate	EVIDENTIAL	r'''(indicat(e|es|ing|ed|ive))'''	forward
no evidence of	EVIDENTIAL	r'''(no|without)\s((definite|definitive|secondary|indirect|other)\s)?((radiographic|sonographic|CT)\s)?(evidence|signs)\s(of|for)'''	forward
no sign of	EVIDENTIAL	r'''(no sign( |s) (of|for))''' 	forward
note	EVIDENTIAL	r'''(note( |s|ed))'''	forward
per report	EVIDENTIAL	r'''(per (his|her) report)'''	forward
report	EVIDENTIAL	r'''(report( |s|ing|ed|edly))'''	forward
reveal	EVIDENTIAL	r'''(reveal( |s|ed|ing))'''	forward
seem	EVIDENTIAL		forward
show	EVIDENTIAL	r'''(show( |ed|s|ing))'''	forward
understand	EVIDENTIAL	r'''(understand( |s|ing))'''	forward
understood	EVIDENTIAL		forward
was categorized as	EVIDENTIAL		forward
was classified as	EVIDENTIAL		forward
was felt	EVIDENTIAL		forward
was found	EVIDENTIAL		forward
associate	GENERIC	r'''associat[a-z]+'''	forward
anomali	GENERIC		forward
condition	GENERIC	r'''condition[a-z]+'''	forward
can be administered	GENERIC		forward
concerned about	GENERIC		forward
discussed side effects	GENERIC		forward
discussed with her the side effects	GENERIC		forward
discussed with him the side effects	GENERIC		forward
despite	GENERIC		forward
dnr	GENERIC		forward
discussed with the patient	GENERIC		forward
education has been provided	GENERIC		backward
I also made him/her aware	GENERIC	r'''I (also )?made (him |her | them )aware'''	forward
hereditary	GENERIC		forward
inherit	GENERIC		forward
likelihood	GENERIC		forward
implications	GENERIC	r'''(implication(\s|s\s))'''	forward
we know	GENERIC		forward
in patients her age	GENERIC		forward
in patients his age	GENERIC		forward
in the form of	GENERIC		forward
imagine	GENERIC		forward
in this setting	GENERIC	r'''in (the|this) setting'''	forward
modestly	GENERIC		forward
most common	GENERIC		forward
meant to	GENERIC		forward
outcome	GENERIC		forward
patient provided	GENERIC		forward
possible side effects	GENERIC		backward
potential benefits	GENERIC		forward
potential risks	GENERIC		forward
prognosis	GENERIC		forward
purpose of	GENERIC		forward
recommended	GENERIC	r'''(recommend( |ed|ing|ation))'''	forward
rare	GENERIC	r'''(rar(e|ely))'''	forward
risk of	GENERIC	r'''risk (of |for )'''	forward
risks and benefits	GENERIC		backward
risks and results	GENERIC		backward
risks benefits and alternatives	GENERIC		forward
side effects associated with	GENERIC		forward
these	GENERIC		forward
these can	GENERIC		forward
there is	GENERIC		forward
similar	GENERIC	r'''(similar(\s|ly))'''	bidirectional
standard	GENERIC		forward
technical	GENERIC	r'''(technical( |ly))'''	bidirectional
treatable	GENERIC		bidirectional
to review	GENERIC		forward
treatment course	GENERIC		forward
worst	GENERIC		forward
would include	GENERIC		forward
typical 	GENERIC	r'''(typical( |ly))'''	forward
usual	GENERIC	r'''(usual(\s|ly))'''	bidirectional
would not see	GENERIC		forward
actually	HEDGED		forward
anticipate	HEDGED	r'''(anticipat(e\s|es\s|ed\s))'''	forward
apparent	HEDGED		forward
apparent	HEDGED	r'''(apparent(\s|ly\s))'''	forward
appear	HEDGED	r'''(appear( |s|ring|red|rance of))'''	forward
appears	HEDGED	r'''(appear(\s|s\s|ing\s|ed\s))'''	forward
